company_id,company_name,industry,country,company_size,annual_revenue,domain,person_id,person_name,job_title,email,phone
7b4d289a,AB,Digital Marketing,111,50,12000000,company206.au,cf364812,,,johnsmithroup,
c5fa092b,12345,,USA,200,3000000,,b4643635,Anita Iyer,Customer Support Exec,anita.iyer@company193.tech,9247717111
21e5b517,,ab,USA,20,,company404.group,50f2e2f0,Ravi Kumar,Support Engineer,ravi.kumar@company404.group,
21e5b517,,ab,USA,20,,company404.group,50f2e2f0,Ravi Kumar,Support Engineer,ravi.kumar@company404.group,
2df100a9,Company199 Corp,123,ab,20,5000000,company199.in,036009dd,Sneha Patel,ML Engineer,sneha.patel@company199.systems,9078757382
5b1dc320,,Digital Marketing,USA,50,12000000,company188.group,b603511c,,HR Executive,,7278110299
499df734,Company384 Corp,Manufacturing,UK,,5000000,,6de9bb65,Priya Patel,,priya.patel@company384.solutions,7644625298
8c110bb4,Company239 Co,,,,3000000,company239.co.uk,27c77368,Sneha Smith,Finance Analyst,sneha.smith@company239.systems,
316b4d78,Company466 Corp,Mktg,USA,50,,company466.systems,4499ec5c,Arjun Lee,Marketing Manager,arjun.lee@company466.systems,
e560ff90,Company288 Pvt Ltd,Artificial Intelligence,,50,3000000,company288.group,a846f87c,Anita Kumar,Business Development Exec,anita.kumar@company288.group,
97457afb,Company98 Co,Mfg,Germany,20,12000000,company98.systems,80b7d138,Arjun Sharma,Sales Executive,arjun.sharma@company98.systems,7141049023
f4be4942,Company397 Co,EdTech,UK,100,,company397.systems,10d4f273,David Sharma,Developer,david.sharma@company397.systems,
f9b7ffb8,Company293 Pvt Ltd,IT service,USA,,12000000,company293.corp,58246141,David Iyer,Sales Exec,david.iyer@company293.corp,
7f1833c9,Company96 Co,Finance,Germany,20,8000000,company96.solutions,db377b39,Arjun Sharma,Compliance Officer,arjunsharma@company96solutions,
451d4fb1,Company219 Corp,Retailing,UK,,3000000,company219.group,da4b955b,Sneha Iyer,Finance Analyst,sneha.iyer@company219.group,
ec5800e2,Company66 Corp,EdTech,Singapore,,8000000,company66.corp,43f2aa6a,Priya Lee,Accounts Manager,priya.lee@company66.corp,
4a9a99b9,Company83 Private Limited,Mktg,Germany,200,,company83.solutions,a082d258,Arjun Iyer,ML Engineer,arjun.iyer@company83.solutions,
d243a204,Company164 Co,E-Commerce,Germany,20,,company164.group,e52311f4,David Sharma,Growth Manager,david.sharma@company164.group,
7c8b66bb,Company297 Pvt Ltd,Retail,UK,50,8000000,company297.solutions,890e3a85,David Smith,Marketng Mngr,davidsmith@company297solutions,
fa95d1b7,Company336 Co,Health Care,Germany,,12000000,company336.group,2c563851,Arjun Iyer,Program Manager,arjun.iyer@company336.group,
243eb1d7,Company410 Pvt Ltd,Power Systems,Germany,20,3000000,company410.solutions,a3dd37da,Kiran Kumar,Financial Analyst,kiran.kumar@company410.solutions,
aab35326,Company159 Co,Medical Tech,Germany,100,12000000,company159.tech,4167b6f6,Anita Patel,Project Manager,,7499961636
06e8e94b,Company389 Corp,Financial Services,Germany,,12000000,company389.tech,5a03ddbf,Priya Kumar,Operations Manager,,
5917e1a9,Company95 Pvt Ltd,Artificial Intelligence,Singapore,20,3000000,company95.group,037a5560,John Patel,Product Owner,john.patel@company95.group,9092639783
7191ebf5,Company292 Private Limited,Educational Services,Germany,100,5000000,company292.systems,47d5b83b,Arjun Smith,Ops Lead,arjun.smith@company292.systems,7478991512
71f8c54c,Company187 Pvt Ltd,Finance,India,100,12000000,company187.tech,5bd9b39a,Ravi Sharma,Data Scientist,ravi.sharma@company187.tech,9727014541
05b617ee,Company341 Corp,Health Care,Germany,200,8000000,company341.systems,2911bc48,David Sharma,Accounts Manager,david.sharma@company341.systems,8748776966
