company_id,company_name,industry,country,company_size,annual_revenue,domain,person_id,person_name,job_title,email,phone,annual_revenue_source,annual_revenue_confidence,company_name_is_valid,company_name_issue,email_is_valid,email_issue,phone_digits,phone_is_valid,phone_issue,industry_is_valid,industry_issue,country_is_valid,country_issue,role_description,is_duplicate
7b4d289a,Ab,Digital Marketing,111,50.0,12000000.0,company206.au,cf364812,Unknown Person,Unknown,john.smith@company206.group,Not Provided,median_imputed,0.5,False,Too short,True,,,,Missing,True,,False,Invalid country,Other / Unknown,False
c5fa092b,12345,Unknown Industry,USA,200.0,3000000.0,Unknown Domain,b4643635,Anita Iyer,Customer Support Exec,anita.iyer@company193.tech,9247717111.0,median_imputed,0.5,False,Only numbers,True,,9247717111,True,,True,,True,,Customer Support,False
21e5b517,Unknown Company,ab,USA,20.0,11432148.071401045,company404.group,50f2e2f0,Ravi Kumar,Support Engineer,ravi.kumar@company404.group,Not Provided,model_imputed,0.6,True,,True,,,,Missing,False,Invalid industry,True,,Customer Support,False
2df100a9,Company199 Corp,123,ab,20.0,5000000.0,company199.in,036009dd,Sneha Patel,ML Engineer,sneha.patel@company199.systems,9078757382.0,median_imputed,0.5,True,,True,,9078757382,True,,True,,True,,Data & Analytics,False
5b1dc320,Unknown Company,Digital Marketing,USA,50.0,12000000.0,company188.group,b603511c,Unknown Person,HR Executive,Not Provided,7278110299.0,median_imputed,0.5,True,,False,Invalid format,7278110299,True,,True,,True,,Human Resources,False
499df734,Company384 Corp,Manufacturing,UK,Unknown,5000000.0,Unknown Domain,6de9bb65,Priya Patel,Unknown,priya.patel@company384.solutions,7644625298.0,median_imputed,0.5,True,,True,,7644625298,True,,True,,True,,Other / Unknown,False
8c110bb4,Company239 Co,Unknown Industry,Unknown Country,Unknown,3000000.0,company239.co.uk,27c77368,Sneha Smith,Finance Analyst,sneha.smith@company239.systems,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,False,Invalid country,Finance,False
316b4d78,Company466 Corp,met,USA,50.0,10013920.739797235,company466.systems,4499ec5c,Arjun Lee,Marketing Manager,arjun.lee@company466.systems,Not Provided,model_imputed,0.6,True,,True,,,,Missing,True,,True,,Marketing,False
e560ff90,Company288 Pvt Ltd,Artificial Intelligence,Unknown Country,50.0,3000000.0,company288.group,a846f87c,Anita Kumar,Business Development Exec,anita.kumar@company288.group,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,False,Invalid country,Other / Unknown,False
97457afb,Company98 Co,mug,Germany,20.0,12000000.0,company98.systems,80b7d138,Arjun Sharma,Sales Executive,arjun.sharma@company98.systems,7141049023.0,median_imputed,0.5,True,,True,,7141049023,True,,True,,True,,Sales,False
f4be4942,Company397 Co,detect,UK,100.0,7328526.957351947,company397.systems,10d4f273,David Sharma,Developer,david.sharma@company397.systems,Not Provided,model_imputed,0.6,True,,True,,,,Missing,True,,True,,Engineering & Development,False
f9b7ffb8,Company293 Pvt Ltd,IT service,USA,Unknown,12000000.0,company293.corp,58246141,David Iyer,Sales Exec,david.iyer@company293.corp,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Sales,False
7f1833c9,Company96 Co,Finance,Germany,20.0,8000000.0,company96.solutions,db377b39,Arjun Sharma,Compliance Officer,arjunsharma@company96solutions,Not Provided,median_imputed,0.5,True,,False,Invalid format,,,Missing,True,,True,,Other / Unknown,False
451d4fb1,Company219 Corp,Retailing,UK,Unknown,3000000.0,company219.group,da4b955b,Sneha Iyer,Finance Analyst,sneha.iyer@company219.group,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Finance,False
ec5800e2,Company66 Corp,detect,Singapore,Unknown,8000000.0,company66.corp,43f2aa6a,Priya Lee,Accounts Manager,priya.lee@company66.corp,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Finance,False
4a9a99b9,Company83 Pvt Ltd,met,Germany,200.0,3861699.9672690397,company83.solutions,a082d258,Arjun Iyer,ML Engineer,arjun.iyer@company83.solutions,Not Provided,model_imputed,0.6,True,,True,,,,Missing,True,,True,,Data & Analytics,False
d243a204,Company164 Co,E- Commerce,Germany,20.0,5358407.4490566775,company164.group,e52311f4,David Sharma,Growth Manager,david.sharma@company164.group,Not Provided,model_imputed,0.6,True,,True,,,,Missing,True,,True,,Leadership,False
7c8b66bb,Company297 Pvt Ltd,Retail,UK,50.0,8000000.0,company297.solutions,890e3a85,David Smith,Marketng Mngr,davidsmith@company297solutions,Not Provided,median_imputed,0.5,True,,False,Invalid format,,,Missing,True,,True,,Other / Unknown,False
fa95d1b7,Company336 Co,Health Care,Germany,Unknown,12000000.0,company336.group,2c563851,Arjun Iyer,Program Manager,arjun.iyer@company336.group,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Leadership,False
243eb1d7,Company410 Pvt Ltd,Power Systems,Germany,20.0,3000000.0,company410.solutions,a3dd37da,Kiran Kumar,Financial Analyst,kiran.kumar@company410.solutions,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Finance,False
aab35326,Company159 Co,Medical teach,Germany,100.0,12000000.0,company159.tech,4167b6f6,Anita Patel,Project Manager,Not Provided,7499961636.0,median_imputed,0.5,True,,False,Invalid format,7499961636,True,,True,,True,,Leadership,False
06e8e94b,Company389 Corp,Financial Services,Germany,Unknown,12000000.0,company389.tech,5a03ddbf,Priya Kumar,Operations Manager,Not Provided,Not Provided,median_imputed,0.5,True,,False,Invalid format,,,Missing,True,,True,,Operations,False
5917e1a9,Company95 Pvt Ltd,Artificial Intelligence,Singapore,20.0,3000000.0,company95.group,037a5560,John Patel,Product Owner,john.patel@company95.group,9092639783.0,median_imputed,0.5,True,,True,,9092639783,True,,True,,True,,Other / Unknown,False
7191ebf5,Company292 Pvt Ltd,Educational Services,Germany,100.0,5000000.0,company292.systems,47d5b83b,Arjun Smith,Ops Lead,arjun.smith@company292.systems,7478991512.0,median_imputed,0.5,True,,True,,7478991512,True,,True,,True,,Operations,False
71f8c54c,Company187 Pvt Ltd,Finance,India,100.0,12000000.0,company187.tech,5bd9b39a,Ravi Sharma,Data Scientist,ravi.sharma@company187.tech,9727014541.0,median_imputed,0.5,True,,True,,9727014541,True,,True,,True,,Data & Analytics,False
05b617ee,Company341 Corp,Health Care,Germany,200.0,8000000.0,company341.systems,2911bc48,David Sharma,Accounts Manager,david.sharma@company341.systems,8748776966.0,median_imputed,0.5,True,,True,,8748776966,True,,True,,True,,Finance,False
9b2b2062,Company67 Pvt Ltd,met,UK,Unknown,8000000.0,company67.solutions,c13ced08,Ravi Iyer,Financial Analyst,ravi.iyer@company67.solutions,9178806762.0,median_imputed,0.5,True,,True,,9178806762,True,,True,,True,,Finance,False
b1118d86,Company475 Pvt Ltd,met,UK,100.0,4986093.533548536,company475.group,b5676227,Kiran Patel,Developer,kiran.patel@company475.group,8286932278.0,model_imputed,0.6,True,,True,,8286932278,True,,True,,True,,Engineering & Development,False
82333a85,Company217 Co,Marketing,USA,20.0,19093720.472299412,company217.tech,aa3a0885,David Kumar,Finance Analyst,david.kumar@company217.tech,8182354462.0,model_imputed,0.6,True,,True,,8182354462,True,,True,,True,,Finance,False
c2a7cef3,Company17 Pvt Ltd,Power Systems,Germany,20.0,3000000.0,company17.tech,ac02bbef,Ravi Iyer,Support Engineer,raviiyer@company17tech,7782458358.0,median_imputed,0.5,True,,False,Invalid format,7782458358,True,,True,,True,,Customer Support,False
41101f5c,Company69 Co,Power Systems,India,Unknown,5000000.0,company69.corp,40defb51,Sneha Iyer,Marketng Mngr,Not Provided,9188491706.0,median_imputed,0.5,True,,False,Invalid format,9188491706,True,,True,,True,,Other / Unknown,False
07b53cfc,Company148 Co,Supply Chain,India,100.0,3928169.6743622497,company148.solutions,f13b5d50,David Patel,Operations Manager,david.patel@company148.solutions,8855489944.0,model_imputed,0.6,True,,True,,8855489944,True,,True,,True,,Operations,False
bc44aae4,Company233 Pvt Ltd,Artificial Intelligence,UK,50.0,8000000.0,company233.systems,25972b31,Sneha Iyer,Business Development Exec,Not Provided,8903522344.0,median_imputed,0.5,True,,False,Invalid format,8903522344,True,,True,,True,,Other / Unknown,False
07262b5c,Company331 Corp,Energy,India,100.0,3000000.0,company331.systems,85641e8a,David Smith,Operations Manager,david.smith@company331.systems,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Operations,False
c19675fb,Company105 Pvt Ltd,Digital Marketing,UK,20.0,7050411.901559573,company105.group,91324e6a,David Iyer,Marketng Mngr,david.iyer@company105.group,7915757665.0,model_imputed,0.6,True,,True,,7915757665,True,,True,,True,,Other / Unknown,False
44a8a2ec,Company201 Pvt Ltd,Supply Chain,Singapore,Unknown,3000000.0,company201.solutions,ee09b7cf,Sneha Kumar,Software Engineer,sneha.kumar@company201.solutions,9278048582.0,median_imputed,0.5,True,,True,,9278048582,True,,True,,True,,Engineering & Development,False
8c6e3b4a,Company45 Pvt Ltd,Manufacturing,Germany,Unknown,5000000.0,company45.tech,06e2be85,Ravi Smith,Growth Manager,Not Provided,Not Provided,median_imputed,0.5,True,,False,Invalid format,,,Missing,True,,True,,Leadership,False
962696d8,Company126 Pvt Ltd,Marketing,Germany,20.0,16452117.895897496,company126.corp,37c65d2c,Kiran Kumar,Security Analyst,kiran.kumar@company126.corp,Not Provided,model_imputed,0.6,True,,True,,,,Missing,True,,True,,Other / Unknown,False
2e6072cf,Company6 Corp,detect,Singapore,20.0,12000000.0,company6.systems,d48043ab,Ravi Patel,Backend Engineer,ravi.patel@company6.systems,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Engineering & Development,False
9f31724b,Company52 Corp,IT Services,Singapore,20.0,5000000.0,company52.systems,12663880,Kiran Sharma,Sales Executive,kiran.sharma@company52.systems,9034848987.0,median_imputed,0.5,True,,True,,9034848987,True,,True,,True,,Sales,False
1b013c63,Company438 Corp,AI& ML,UK,100.0,12000000.0,company438.corp,2fc410ed,Kiran Lee,Finance Analyst,kiran.lee@company438.corp,8128955415.0,median_imputed,0.5,True,,True,,8128955415,True,,True,,True,,Finance,False
836dbb1a,Company62 Pvt Ltd,Fin teach,UK,50.0,8000000.0,company62.corp,bd3ffb2b,Anita Lee,Accounts Manager,anita.lee@company62.corp,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Finance,False
6bc50700,Company426 Pvt Ltd,mug,USA,50.0,12000000.0,company426.corp,b5ca1335,John Smith,Support Engineer,john.smith@company426.corp,8354403549.0,median_imputed,0.5,True,,True,,8354403549,True,,True,,True,,Customer Support,False
5b1dc320,Company188 Pvt Ltd,Digital Marketing,USA,50.0,12000000.0,company188.group,62cd2603,Sneha Iyer,Finance Analyst,sneha.iyer@company188.group,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Finance,False
e929ff5a,Company231 Corp,finch,Singapore,100.0,3000000.0,company231.corp,0bf3cfd5,John Kumar,Project Manager,john.kumar@company231.corp,8755730126.0,median_imputed,0.5,True,,True,,8755730126,True,,True,,True,,Leadership,False
f155bc6b,Company381 Pvt Ltd,Supply Chain,Singapore,50.0,3000000.0,company381.tech,74bafc36,Sneha Sharma,Legal Advisor,snehasharma@company381tech,8962326398.0,median_imputed,0.5,True,,False,Invalid format,8962326398,True,,True,,True,,Other / Unknown,False
558f25d5,Company298 Pvt Ltd,met,USA,50.0,12000000.0,company298.solutions,006ce34f,Priya Smith,Human Resources Manager,Not Provided,Not Provided,median_imputed,0.5,True,,False,Invalid format,,,Missing,True,,True,,Human Resources,False
ee58b528,Company92 Co,Machine Learning,Singapore,Unknown,5000000.0,company92.group,929748af,David Smith,ML Engineer,david.smith@company92.group,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Data & Analytics,False
9b2b2062,Company67 Pvt Ltd,met,UK,Unknown,8000000.0,company67.solutions,a8211c4b,Sneha Sharma,Developer,sneha.sharma@company67.solutions,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Engineering & Development,False
9cdae830,Company80 Pvt Ltd,SCM,Germany,50.0,12000000.0,company80.group,9da34a87,Sneha Kumar,Backend Engineer,sneha.kumar@company80.group,8890228626.0,median_imputed,0.5,True,,True,,8890228626,True,,True,,True,,Engineering & Development,False
fa95d1b7,Company336 Co,Health Care,Germany,Unknown,12000000.0,company336.group,acaacfc9,Arjun Sharma,Software Engineer,Not Provided,Not Provided,median_imputed,0.5,True,,False,Invalid format,,,Missing,True,,True,,Engineering & Development,False
592fde04,Company347 Pvt Ltd,Digital Marketing,Germany,200.0,3000000.0,company347.systems,38ed07ba,Sneha Lee,Security Analyst,sneha.lee@company347.systems,9546659061.0,median_imputed,0.5,True,,True,,9546659061,True,,True,,True,,Other / Unknown,False
03eaadf1,Company445 Pvt Ltd,Logistics,Germany,200.0,1943677.8834026903,company445.tech,c0345e0a,Ravi Lee,Developer,ravi.lee@company445.tech,9832179768.0,model_imputed,0.6,True,,True,,9832179768,True,,True,,True,,Engineering & Development,False
389e7907,Company463 Co,E- Commerce,Singapore,Unknown,12000000.0,company463.corp,c9e073c7,Arjun Patel,Sales Exec,arjun.patel@company463.corp,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Sales,False
2aa548e7,Company271 Pvt Ltd,Financial Services,UK,20.0,-2381686.674217742,company271.corp,10fbefcd,John Kumar,AI Engineer,john.kumar@company271.corp,Not Provided,model_imputed,0.6,True,,True,,,,Missing,True,,True,,Data & Analytics,False
43d0d557,Company174 Co,Digital Marketing,USA,Unknown,8000000.0,company174.corp,b2c24455,Kiran Patel,S/W Engg,Not Provided,9747184197.0,median_imputed,0.5,True,,False,Invalid format,9747184197,True,,True,,True,,Other / Unknown,False
6099b0c3,Company10 Corp,finch,UK,50.0,8000000.0,company10.systems,bb63f573,John Kumar,Project Manager,john.kumar@company10.systems,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Leadership,False
e7f40470,Company100 Pvt Ltd,Manufacturing,USA,Unknown,5000000.0,company100.tech,bc452189,Arjun Sharma,S/W Engg,arjun.sharma@company100.tech,7317779325.0,median_imputed,0.5,True,,True,,7317779325,True,,True,,True,,Other / Unknown,False
cb9694f4,Company48 Co,Finance,UK,100.0,3000000.0,company48.corp,852a8f58,Anita Iyer,Legal Advisor,anita.iyer@company48.corp,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Other / Unknown,False
50038f51,Company26 Co,Marketing,Singapore,50.0,12000000.0,company26.solutions,e73fd524,Priya Sharma,Sales Exec,priya.sharma@company26.solutions,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Sales,False
e560ff90,Company288 Pvt Ltd,Artificial Intelligence,UK,50.0,3000000.0,company288.group,5fd5c600,Ravi Iyer,Sales Exec,ravi.iyer@company288.group,9347565316.0,median_imputed,0.5,True,,True,,9347565316,True,,True,,True,,Sales,False
6039a883,Company392 Pvt Ltd,teach Services,UK,Unknown,3000000.0,company392.corp,0d762102,David Iyer,Finance Analyst,david.iyer@company392.corp,Not Provided,median_imputed,0.5,True,,True,,,,Missing,True,,True,,Finance,False
